,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-03-23,3.994849425837865,4.095752748062326,3.907705945782825,4.084286212921143,78239600,0.0,0.0
2011-03-24,4.171431884222494,4.460382130213106,4.16225865225274,4.409930229187012,178059200,0.0,0.0
2011-03-25,4.448916337781209,4.460382879670069,4.265456041597925,4.272335529327393,119639200,0.0,0.0
2011-03-28,4.373237318708979,4.503952786823777,4.334251965288452,4.430568695068359,120428400,0.0,0.0
2011-03-29,4.430569359644533,4.446622077448443,4.336545923304124,4.396170616149902,71576400,0.0,0.0
2011-03-30,4.4305696793225975,4.448915706337036,4.176018171768966,4.2310566902160645,117632000,0.0,0.0
2011-03-31,4.237935939119843,4.283801222783693,4.155379040890178,4.233349323272705,65511200,0.0,0.0
2011-04-01,4.288388881487887,4.292975061046536,4.1163946820282735,4.1737260818481445,85007200,0.0,0.0
2011-04-04,4.1737239304408735,4.185190029532931,3.99484989774073,4.024662017822266,92432800,0.0,0.0
2011-04-05,4.08428706157624,4.116392929239093,4.022369508562651,4.0315423011779785,82107600,0.0,0.0
2011-04-06,4.061354934556822,4.065941550142991,3.969624809852123,4.004023551940918,85698400,0.0,0.0
2011-04-07,4.013196718348788,4.176017632396577,3.99714400145999,4.150792121887207,102120800,0.0,0.0
2011-04-08,4.182896722233791,4.182896722233791,4.013195918730208,4.024662017822266,74655200,0.0,0.0
2011-04-11,4.0407165125565845,4.061355410304515,3.9283466045510993,3.97191858291626,54620800,0.0,0.0
2011-04-12,3.932932242384488,4.010902947473236,3.859548152278297,3.983384132385254,84075600,0.0,0.0
2011-04-13,4.02466491137655,4.098049485498335,3.974213426734032,4.072823524475098,74958800,0.0,0.0
2011-04-14,4.036130525395029,4.247110088509428,4.013197878607926,4.244816780090332,125470400,0.0,0.0
2011-04-15,4.212712472419435,4.3434280257106925,4.1920731284888175,4.290682792663574,96972000,0.0,0.0
2011-04-18,4.189777678764089,4.2172964983420425,4.081994396106478,4.148499011993408,74358400,0.0,0.0
2011-04-19,4.15079183560488,4.166844551386514,4.020076364350204,4.132445812225342,65986000,0.0,0.0
2011-04-20,4.283800430870979,4.345718421149754,4.189777010404846,4.258574485778809,65051600,0.0,0.0
2011-04-21,4.304440319022191,4.33195913777804,4.23793570512204,4.247108936309815,42130000,0.0,0.0
2011-04-25,4.265455731382312,4.3847051339306695,4.263162423171327,4.3136138916015625,61961200,0.0,0.0
2011-04-26,4.350305537907532,4.4695549292098935,4.306733998219333,4.42598295211792,67600000,0.0,0.0
2011-04-27,4.448915594661263,4.448915594661263,4.334252819348324,4.42598295211792,45000400,0.0,0.0
2011-04-28,4.425983947509979,4.563579396311113,4.375532472491242,4.474142551422119,68400000,0.0,0.0
2011-04-29,4.503952389938059,4.687413040563842,4.49707290531951,4.586509704589844,83600000,0.0,0.0
2011-05-02,4.68282762420762,4.685120932135206,4.501660234562234,4.524592876434326,61382400,0.0,0.0
2011-05-03,4.471849111474016,4.485608524728547,4.253989620825276,4.309028148651123,80800000,0.0,0.0
2011-05-04,4.322787519556403,4.3709456841774,4.19665818084663,4.276922225952148,63935600,0.0,0.0
2011-05-05,4.242522332129298,4.329665841628904,4.185190949262686,4.279214382171631,54400000,0.0,0.0
2011-05-06,4.368650703623342,4.471847356031704,4.334251965288452,4.430568695068359,84108000,0.0,0.0
2011-05-09,4.444328927840316,4.552112215340135,4.432862825401674,4.529179573059082,70632800,0.0,0.0
2011-05-10,4.565871987559923,4.570458603860344,4.490194568218193,4.536059856414795,69097600,0.0,0.0
2011-05-11,4.558991669681839,4.604856953920403,4.494780796632369,4.556698799133301,61600000,0.0,0.0
2011-05-12,4.540646643245986,4.70576135293746,4.5291805383635735,4.701174736022949,122400000,0.0,0.0
2011-05-13,4.403051890953797,4.414517996502638,4.155380249425389,4.187485694885254,202519200,0.0,0.0
2011-05-16,4.17601812855594,4.185191360670128,4.056769172897966,4.059062480926514,72818800,0.0,0.0
2011-05-17,4.045302112054648,4.047595419788006,3.926053171746082,4.043008804321289,142036400,0.0,0.0
2011-05-18,4.059062266451641,4.171431729490319,4.04530241900741,4.137032985687256,65884400,0.0,0.0
2011-05-19,4.16913746838046,4.171430775763507,4.015489372945632,4.077407360076904,65088400,0.0,0.0
2011-05-20,4.068234986317502,4.157671806051476,4.049888960797616,4.148499011993408,57582000,0.0,0.0
2011-05-23,4.0888742398834,4.173724879633836,4.036129472218835,4.143912315368652,58800000,0.0,0.0
2011-05-24,4.1645526086728974,4.327374002257384,4.153086504329189,4.159965991973877,72037200,0.0,0.0
2011-05-25,4.139326972249607,4.237937051835379,4.098048730998613,4.210418224334717,54531200,0.0,0.0
2011-05-26,4.210416522695618,4.352598094595428,4.198949984701311,4.315906047821045,70643600,0.0,0.0
2011-05-27,4.334252137954956,4.478727457082222,4.3296655226866,4.471847534179688,65882400,0.0,0.0
2011-05-31,4.558992035572889,4.597977399083386,4.448915869450471,4.59568452835083,120071600,0.0,0.0
2011-06-01,4.575045810820178,4.581925298755179,4.3801189669243765,4.389291763305664,76220800,0.0,0.0
2011-06-02,4.396169207987315,4.42827463331126,4.315905207273837,4.368649959564209,60759200,0.0,0.0
2011-06-03,4.3181999668297,4.357185326722845,4.21271042676811,4.233349323272705,54930000,0.0,0.0
2011-06-06,4.226469647298401,4.26545500544259,4.139325699727279,4.143912315368652,43598800,0.0,0.0
2011-06-07,4.176018430419165,4.198951074958538,4.123273654161276,4.141619682312012,43395600,0.0,0.0
2011-06-08,4.120981259726133,4.146207218053262,3.997145651601128,4.0292510986328125,56928800,0.0,0.0
2011-06-09,4.026955662508505,4.036128892473619,3.8389088222604713,3.983384132385254,74163200,0.0,0.0
2011-06-10,3.99026415437996,4.015490102774713,3.893947413804414,3.926053285598755,49354800,0.0,0.0
2011-06-13,3.926052835728677,3.9765042893334206,3.87101432964608,3.898533582687378,57476000,0.0,0.0
2011-06-14,3.9329337674412135,4.01778442790597,3.9145877378007055,3.930640459060669,53457600,0.0,0.0
2011-06-15,3.877895349155888,3.9008279936097328,3.765525872476243,3.845789909362793,93591600,0.0,0.0
2011-06-16,3.8480833154479126,3.9077080175833,3.657742886523113,3.712781190872192,102490800,0.0,0.0
2011-06-17,3.7563520827009698,3.758645390546659,3.510974048162796,3.62563681602478,146788400,0.0,0.0
2011-06-20,3.59353118762707,3.669208597453396,3.554545828782978,3.5820648670196533,74596000,0.0,0.0
2011-06-21,3.5958247547686537,3.687554888838511,3.561425790466039,3.6600358486175537,70427600,0.0,0.0
2011-06-22,3.634810763737662,3.682968928674279,3.602705101744654,3.60958480834961,65172000,0.0,0.0
2011-06-23,3.5637194745545617,3.742593364217386,3.531613814891218,3.71736741065979,74402400,0.0,0.0
2011-06-24,3.699021650319818,3.731127531014756,3.586652380099115,3.60958480834961,52905200,0.0,0.0
2011-06-27,3.609584355920315,3.632516999998336,3.407777831620196,3.533906936645508,114215200,0.0,0.0
2011-06-28,3.533907019785763,3.5958250290319893,3.50868128566799,3.554546356201172,69220000,0.0,0.0
2011-06-29,3.5774793650585317,3.646276868511944,3.453643552659686,3.60958480834961,96054400,0.0,0.0
2011-06-30,3.6187570991735902,3.694434731490564,3.5637190199447786,3.655449151992798,65230000,0.0,0.0
2011-07-01,3.655449890726776,3.717367687696754,3.582065770258081,3.703608274459839,54080400,0.0,0.0
2011-07-05,3.699021672958077,3.733420862299168,3.609584830440508,3.641690492630005,53529600,0.0,0.0
2011-07-06,3.639396436220504,3.6462761414536633,3.549959393381886,3.593531370162964,52958000,0.0,0.0
2011-07-07,3.611876405805712,3.630222427196199,3.5430787162404767,3.6072897911071777,98613600,0.0,0.0
2011-07-08,3.5568389425042746,3.5820646715022124,3.50868057354322,3.5384929180145264,61951600,0.0,0.0
2011-07-11,3.4719889815249614,3.485748392352268,3.4054845793212696,3.414657592773437,71438800,0.0,0.0
2011-07-12,3.3986041626935077,3.4307098144744184,3.311460438175487,3.3687918186187744,86760400,0.0,0.0
2011-07-13,3.41465772070851,3.4375901458471807,3.329807288421438,3.361912727355957,63436800,0.0,0.0
2011-07-14,3.3756712061536915,3.396310534830939,3.212850102779857,3.228902816772461,108899600,0.0,0.0
2011-07-15,3.2472498781286454,3.267889213416209,3.166986063757104,3.233490467071533,82773600,0.0,0.0
2011-07-18,3.208264156964965,3.226610182124732,3.123413735925576,3.1646924018859863,81820000,0.0,0.0
2011-07-19,3.1738650214037776,3.267888443378874,3.1738650214037776,3.2610087394714355,60222400,0.0,0.0
2011-07-20,3.272475361917066,3.290821386506076,3.210557364902761,3.2197303771972656,66295600,0.0,0.0
2011-07-21,3.224317199236099,3.3940180469059253,3.1761588269295937,3.3710854053497314,114342000,0.0,0.0
2011-07-22,3.400897635606725,3.4513493140841547,3.3573258805820387,3.43988299369812,73719200,0.0,0.0
2011-07-25,3.387139042012581,3.400898454828748,3.336687351382146,3.384845733642578,56692000,0.0,0.0
2011-07-26,3.288528406539057,3.3710855254184304,3.25412944297957,3.3022878170013428,69827600,0.0,0.0
2011-07-27,3.25642249192832,3.272475427793253,3.169278764025356,3.1784517765045166,65221200,0.0,0.0
2011-07-28,3.166985335170775,3.238076119582029,3.1165336625970226,3.171571731567383,64817600,0.0,0.0
2011-07-29,3.13946608198375,3.201384073601789,3.1234133665428563,3.171571731567383,67765600,0.0,0.0
2011-08-01,3.2449560929180463,3.3504458432197213,3.2174370561482872,3.3412728309631348,101962000,0.0,0.0
2011-08-02,3.3183408350923087,3.5270270547101483,3.306874513626098,3.306874513626098,135643200,0.0,0.0
2011-08-03,3.3137541828365347,3.407777624169252,3.2816487455240297,3.396311521530152,76523600,0.0,0.0
2011-08-04,3.334393231252329,3.334393231252329,3.072962045669556,3.072962045669556,97973200,0.0,0.0
2011-08-05,3.1440538811482197,3.183039249359765,2.8895025522686475,2.96976637840271,127058800,0.0,0.0
2011-08-08,2.825290735923731,2.926194101464944,2.7175078837481084,2.735853910446167,108418000,0.0,0.0
2011-08-09,2.788599112616116,2.9697663182274683,2.7519070535609447,2.965179920196533,132983200,0.0,0.0
2011-08-10,2.878035266781142,2.9605923737293254,2.813824183599222,2.8298768997192383,114005200,0.0,0.0
2011-08-11,2.829877579937319,3.116534543566271,2.829877579937319,3.075255870819092,107879200,0.0,0.0
2011-08-12,3.4031910010902893,3.4077773981012958,2.905554568740188,2.9537129402160645,319578400,0.0,0.0
2011-08-15,2.9835251289874654,3.0729619436558298,2.9674721935403805,3.066082239151001,86415200,0.0,0.0
2011-08-16,3.031684050417358,3.072962503670756,2.9239009729240184,2.9789390563964844,71686800,0.0,0.0
2011-08-17,2.9881119203370834,3.038563603672324,2.898675093858581,2.937660455703736,55332800,0.0,0.0
2011-08-18,2.804650933877193,2.8321701880406693,2.706041111481841,2.738146543502808,80256400,0.0,0.0
2011-08-19,2.6922821597531112,2.841343912606029,2.671642823304099,2.689988851547241,76133200,0.0,0.0
2011-08-22,2.7656657976662835,2.797771229687251,2.708334419112439,2.738146543502808,61187600,0.0,0.0
2011-08-23,2.8046514733793684,3.036270339779503,2.800065075937786,3.033977031707764,93831200,0.0,0.0
2011-08-24,3.0270968933780438,3.0362699056515394,2.912434130608406,2.9904048442840576,68750000,0.0,0.0
2011-08-25,2.930780044382915,2.983525026988355,2.857395948968587,2.8619823455810547,69096800,0.0,0.0
2011-08-26,2.850516710574889,3.013337862912595,2.800065027381009,2.983525514602661,73266000,0.0,0.0
2011-08-29,3.068375745024507,3.075255449973588,2.997284731544419,3.063789129257202,60152800,0.0,0.0
2011-08-30,3.043150210383014,3.162399384887961,3.022510875504762,3.137173652648926,68476000,0.0,0.0
2011-08-31,3.160106445408696,3.192212105486113,3.0270976259052675,3.052323579788208,70580800,0.0,0.0
2011-09-01,3.0936016715292527,3.1601060734531665,3.0431502071055188,3.045443296432495,76231200,0.0,0.0
2011-09-02,2.9766462240191536,3.017924902572286,2.939954162506119,2.9628868103027344,47135600,0.0,0.0
2011-09-06,2.866569325681364,3.0293904721281404,2.8390502863990483,3.022510766983032,69624800,0.0,0.0
2011-09-07,3.2678885459899902,3.357325574402383,3.178451517577598,3.2678885459899902,160662000,0.0,0.0
2011-09-08,3.2357828885368014,3.3137535974392054,3.199090841689047,3.251835823059082,88016400,0.0,0.0
