,trend
2011-05-06,1.819866776466385
2011-05-09,1.8249335765838726
2011-05-10,1.8413335800171102
2011-05-11,1.8470669746399078
2011-05-12,1.8296001672744802
2011-05-13,1.7980001688003744
2011-05-16,1.788400173187251
2011-05-17,1.7954667806625417
2011-05-18,1.801066803932195
2011-05-19,1.804000210762029
2011-05-20,1.814133405685445
2011-05-23,1.849200010299698
2011-05-24,1.8662666082382304
2011-05-25,1.8873332023620708
2011-05-26,1.93159978389739
2011-05-27,1.9555997848510693
2011-05-31,1.9526663780212605
2011-06-01,1.961333179473887
2011-06-02,1.949999785423284
2011-06-03,1.926399803161616
2011-06-06,1.907733201980601
2011-06-07,1.8925332069397125
2011-06-08,1.8622663974761762
2011-06-09,1.8586663961410623
2011-06-10,1.8617331981658987
2011-06-13,1.864399814605718
2011-06-14,1.8494666099548442
2011-06-15,1.8313334226607973
2011-06-16,1.7990668058395387
2011-06-17,1.7848000049591115
2011-06-20,1.783333396911601
2011-06-21,1.799466586112961
2011-06-22,1.8137331962585348
2011-06-23,1.8330666065216066
2011-06-24,1.8407999992370556
2011-06-27,1.855200004577637
2011-06-28,1.8741334199905193
2011-06-29,1.8934668064117484
2011-06-30,1.9158668041229148
2011-07-01,1.9272002220154012
2011-07-05,1.9464002132416076
2011-07-06,1.9421336174011332
2011-07-07,1.9332002162933755
2011-07-08,1.9202668190002443
2011-07-11,1.9160000085830688
2011-07-12,1.8877334117889506
2011-07-13,1.8713334083557331
2011-07-14,1.8564000129700011
2011-07-15,1.8526666164398395
2011-07-18,1.8533334255218912
2011-07-19,1.867866635322591
2011-07-20,1.8906666278839366
2011-07-21,1.9074666261673074
2011-07-22,1.9089334249496763
2011-07-25,1.894933414459249
2011-07-26,1.887866806983973
2011-07-27,1.872933411598226
2011-07-28,1.8766668081283924
2011-07-29,1.8678668022156015
2011-08-01,1.8620000123977611
2011-08-02,1.816400003433263
2011-08-03,1.7640000104904379
2011-08-04,1.695600008964574
2011-08-05,1.6652000188827718
2011-08-08,1.6201334238052774
2011-08-09,1.6274668216705626
2011-08-10,1.6550668001175282
2011-08-11,1.6896002054214831
2011-08-12,1.7034667968750252
2011-08-15,1.7302667856216734
2011-08-16,1.7164000034332174
2011-08-17,1.6629334211349993
2011-08-18,1.6058666229247947
2011-08-19,1.5640000104903973
2011-08-22,1.5378666162490846
2011-08-23,1.522533416748057
2011-08-24,1.5416000127792409
2011-08-25,1.5784000158309786
2011-08-26,1.6006666183471832
2011-08-29,1.6122666120529174
2011-08-30,1.6241332054138284
2011-08-31,1.615333199501068
2011-09-01,1.5917331933975523
2011-09-02,1.5811998128891245
2011-09-06,1.566133213043218
2011-09-07,1.552399802207952
2011-09-08,1.5498664140701193
2011-09-09,1.565066409111028
2011-09-12,1.5717331886291503
2011-09-13,1.5878665924072417
2011-09-14,1.6256000041961873
2011-09-15,1.6641334056854047
2011-09-16,1.6898668050765941
2011-09-19,1.7100000143050997
2011-09-20,1.7208000183105268
2011-09-21,1.728533411025981
2011-09-22,1.7252000093460083
2011-09-23,1.7276000261306663
2011-09-26,1.71080002784728
2011-09-27,1.6906666278838909
2011-09-28,1.6641332387923993
2011-09-29,1.640266633033722
2011-09-30,1.6065332174301048
2011-10-03,1.6169332265853882
2011-10-04,1.6547998189926147
2011-10-05,1.689466404914856
2011-10-06,1.7447998046875406
2011-10-07,1.7974666118621927
2011-10-10,1.8298666000366313
2011-10-11,1.8429333925247395
2011-10-12,1.8570667982101543
2011-10-13,1.8509333848953249
2011-10-14,1.860666584968577
2011-10-17,1.857599997520447
2011-10-18,1.8496000051498516
2011-10-19,1.8493334054947101
2011-10-20,1.8644000053405763
2011-10-21,1.8631999969482322
2011-10-24,1.8686665773391926
2011-10-25,1.8875997781753844
2011-10-26,1.9121329784393413
2011-10-27,1.9230663776397807
2011-10-28,1.9314663887024128
2011-10-31,1.9411998033523763
2011-11-01,1.990533208847056
2011-11-02,2.0230666160583497
2011-11-03,2.0484000205993853
2011-11-04,2.087866830825836
2011-11-07,2.1168002128601477
2011-11-08,2.101733589172343
2011-11-09,2.1194669723510846
2011-11-10,2.145466995239258
2011-11-11,2.1733335971832477
2011-11-14,2.2274668216705122
2011-11-15,2.2588000297546285
2011-11-16,2.2449332237243858
2011-11-17,2.2254663944244384
2011-11-18,2.2006663799285686
2011-11-21,2.154133176803609
2011-11-22,2.127199983596802
2011-11-23,2.1266667842865195
2011-11-25,2.1265336036681926
2011-11-28,2.1354670047759807
2011-11-29,2.150800180435181
2011-11-30,2.1726667881011763
2011-12-01,2.1974668025970256
2011-12-02,2.239066791534414
2011-12-05,2.258400011062612
2011-12-06,2.2356000423431195
2011-12-07,2.205466651916484
2011-12-08,2.151999855041484
2011-12-09,2.0797330617904564
