,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2014-12-10,0.15846029464250078,0.15653202971670085,0.15515654606325308,0.15409480456958408,0.15314162689451072,0.15261274801363253
2014-12-11,0.15653202971670085,0.15515654606325308,0.15409480456958408,0.15314162689451072,0.15261274801363253,0.15255597650935565
2014-12-12,0.15515654606325308,0.15409480456958408,0.15314162689451072,0.15261274801363253,0.15255597650935565,0.1508189440134519
2014-12-15,0.15409480456958408,0.15314162689451072,0.15261274801363253,0.15255597650935565,0.1508189440134519,0.150125725267747
2014-12-16,0.15314162689451072,0.15261274801363253,0.15255597650935565,0.1508189440134519,0.150125725267747,0.14916657294466967
2014-12-17,0.15261274801363253,0.15255597650935565,0.1508189440134519,0.150125725267747,0.14916657294466967,0.14842753653265003
2014-12-18,0.15255597650935565,0.1508189440134519,0.150125725267747,0.14916657294466967,0.14842753653265003,0.1484743477572815
2014-12-19,0.1508189440134519,0.150125725267747,0.14916657294466967,0.14842753653265003,0.1484743477572815,0.14959286075522732
2014-12-22,0.150125725267747,0.14916657294466967,0.14842753653265003,0.1484743477572815,0.14959286075522732,0.15000620191200204
2014-12-23,0.14916657294466967,0.14842753653265003,0.1484743477572815,0.14959286075522732,0.15000620191200204,0.15113766346345975
2014-12-24,0.14842753653265003,0.1484743477572815,0.14959286075522732,0.15000620191200204,0.15113766346345975,0.15234681443626008
2014-12-26,0.1484743477572815,0.14959286075522732,0.15000620191200204,0.15113766346345975,0.15234681443626008,0.1527213137319572
2014-12-29,0.14959286075522732,0.15000620191200204,0.15113766346345975,0.15234681443626008,0.1527213137319572,0.15312569196686146
2014-12-30,0.15000620191200204,0.15113766346345975,0.15234681443626008,0.1527213137319572,0.15312569196686146,0.15367249859120982
2014-12-31,0.15113766346345975,0.15234681443626008,0.1527213137319572,0.15312569196686146,0.15367249859120982,0.15298525449350883
2015-01-02,0.15234681443626008,0.1527213137319572,0.15312569196686146,0.15367249859120982,0.15298525449350883,0.1513169446976191
2015-01-05,0.1527213137319572,0.15312569196686146,0.15367249859120982,0.15298525449350883,0.1513169446976191,0.15013368893211354
2015-01-06,0.15312569196686146,0.15367249859120982,0.15298525449350883,0.1513169446976191,0.15013368893211354,0.14914863950201235
2015-01-07,0.15367249859120982,0.15298525449350883,0.1513169446976191,0.15013368893211354,0.14914863950201235,0.1479942710171263
2015-01-08,0.15298525449350883,0.1513169446976191,0.15013368893211354,0.14914863950201235,0.1479942710171263,0.14692057832772035
2015-01-09,0.1513169446976191,0.15013368893211354,0.14914863950201235,0.1479942710171263,0.14692057832772035,0.1468657996392642
2015-01-12,0.15013368893211354,0.14914863950201235,0.1479942710171263,0.14692057832772035,0.1468657996392642,0.14635285758576438
2015-01-13,0.14914863950201235,0.1479942710171263,0.14692057832772035,0.1468657996392642,0.14635285758576438,0.14500725477125295
2015-01-14,0.1479942710171263,0.14692057832772035,0.1468657996392642,0.14635285758576438,0.14500725477125295,0.1443907261893867
2015-01-15,0.14692057832772035,0.1468657996392642,0.14635285758576438,0.14500725477125295,0.1443907261893867,0.14419451266980315
2015-01-16,0.1468657996392642,0.14635285758576438,0.14500725477125295,0.1443907261893867,0.14419451266980315,0.144444509419797
2015-01-20,0.14635285758576438,0.14500725477125295,0.1443907261893867,0.14419451266980315,0.144444509419797,0.14614269815489395
2015-01-21,0.14500725477125295,0.1443907261893867,0.14419451266980315,0.144444509419797,0.14614269815489395,0.14867653592486912
2015-01-22,0.1443907261893867,0.14419451266980315,0.144444509419797,0.14614269815489395,0.14867653592486912,0.15056097789990427
2015-01-23,0.14419451266980315,0.144444509419797,0.14614269815489395,0.14867653592486912,0.15056097789990427,0.15228506184229604
2015-01-26,0.144444509419797,0.14614269815489395,0.14867653592486912,0.15056097789990427,0.15228506184229604,0.15294840164879372
2015-01-27,0.14614269815489395,0.14867653592486912,0.15056097789990427,0.15228506184229604,0.15294840164879372,0.15309381831210453
2015-01-28,0.14867653592486912,0.15056097789990427,0.15228506184229604,0.15294840164879372,0.15309381831210453,0.15729098288855306
2015-01-29,0.15056097789990427,0.15228506184229604,0.15294840164879372,0.15309381831210453,0.15729098288855306,0.16275008621016657
2015-01-30,0.15228506184229604,0.15294840164879372,0.15309381831210453,0.15729098288855306,0.16275008621016657,0.16840739586718426
2015-02-02,0.15294840164879372,0.15309381831210453,0.15729098288855306,0.16275008621016657,0.16840739586718426,0.17446708904355646
2015-02-03,0.15309381831210453,0.15729098288855306,0.16275008621016657,0.16840739586718426,0.17446708904355646,0.18065327758145253
2015-02-04,0.15729098288855306,0.16275008621016657,0.16840739586718426,0.17446708904355646,0.18065327758145253,0.18262039006751757
2015-02-05,0.16275008621016657,0.16840739586718426,0.17446708904355646,0.18065327758145253,0.18262039006751757,0.1832269583697384
2015-02-06,0.16840739586718426,0.17446708904355646,0.18065327758145253,0.18262039006751757,0.1832269583697384,0.18416818294934567
2015-02-09,0.17446708904355646,0.18065327758145253,0.18262039006751757,0.1832269583697384,0.18416818294934567,0.18520303377767394
2015-02-10,0.18065327758145253,0.18262039006751757,0.1832269583697384,0.18416818294934567,0.18520303377767394,0.18552972259123557
2015-02-11,0.18262039006751757,0.1832269583697384,0.18416818294934567,0.18520303377767394,0.18552972259123557,0.18628170375730901
2015-02-12,0.1832269583697384,0.18416818294934567,0.18520303377767394,0.18552972259123557,0.18628170375730901,0.18676675778769328
2015-02-13,0.18416818294934567,0.18520303377767394,0.18552972259123557,0.18628170375730901,0.18676675778769328,0.18680361253213743
2015-02-17,0.18520303377767394,0.18552972259123557,0.18628170375730901,0.18676675778769328,0.18680361253213743,0.18718807210748
2015-02-18,0.18552972259123557,0.18628170375730901,0.18676675778769328,0.18680361253213743,0.18718807210748,0.1878344815282826
2015-02-19,0.18628170375730901,0.18676675778769328,0.18680361253213743,0.18718807210748,0.1878344815282826,0.18766615793154365
2015-02-20,0.18676675778769328,0.18680361253213743,0.18718807210748,0.1878344815282826,0.18766615793154365,0.18798089744909727
2015-02-23,0.18680361253213743,0.18718807210748,0.1878344815282826,0.18766615793154365,0.18798089744909727,0.18917610061088166
2015-02-24,0.18718807210748,0.1878344815282826,0.18766615793154365,0.18798089744909727,0.18917610061088166,0.1897537816324829
2015-02-25,0.1878344815282826,0.18766615793154365,0.18798089744909727,0.18917610061088166,0.1897537816324829,0.1894051775440807
2015-02-26,0.18766615793154365,0.18798089744909727,0.18917610061088166,0.1897537816324829,0.1894051775440807,0.18995497434202474
2015-02-27,0.18798089744909727,0.18917610061088166,0.1897537816324829,0.1894051775440807,0.18995497434202474,0.1905545668390085
2015-03-02,0.18917610061088166,0.1897537816324829,0.1894051775440807,0.18995497434202474,0.1905545668390085,0.19029062607745684
2015-03-03,0.1897537816324829,0.1894051775440807,0.18995497434202474,0.1905545668390085,0.19029062607745684,0.19059241704149868
2015-03-04,0.1894051775440807,0.18995497434202474,0.1905545668390085,0.19029062607745684,0.19059241704149868,0.1905854450357197
2015-03-05,0.18995497434202474,0.1905545668390085,0.19029062607745684,0.19059241704149868,0.1905854450357197,0.18987827847899885
2015-03-06,0.1905545668390085,0.19029062607745684,0.19059241704149868,0.1905854450357197,0.18987827847899885,0.1883743123473938
2015-03-09,0.19029062607745684,0.19059241704149868,0.1905854450357197,0.18987827847899885,0.1883743123473938,0.1867458455698148
2015-03-10,0.19059241704149868,0.1905854450357197,0.18987827847899885,0.1883743123473938,0.1867458455698148,0.18539227339174957
2015-03-11,0.1905854450357197,0.18987827847899885,0.1883743123473938,0.1867458455698148,0.18539227339174957,0.18444507226440932
2015-03-12,0.18987827847899885,0.1883743123473938,0.1867458455698148,0.18539227339174957,0.18444507226440932,0.18392615366317638
2015-03-13,0.1883743123473938,0.1867458455698148,0.18539227339174957,0.18444507226440932,0.18392615366317638,0.18416619203325396
2015-03-16,0.1867458455698148,0.18539227339174957,0.18444507226440932,0.18392615366317638,0.18416619203325396,0.18503968747116406
2015-03-17,0.18539227339174957,0.18444507226440932,0.18392615366317638,0.18416619203325396,0.18503968747116406,0.18494008847416804
2015-03-18,0.18444507226440932,0.18392615366317638,0.18416619203325396,0.18503968747116406,0.18494008847416804,0.1857279289266399
2015-03-19,0.18392615366317638,0.18416619203325396,0.18503968747116406,0.18494008847416804,0.1857279289266399,0.1859032283286159
2015-03-20,0.18416619203325396,0.18503968747116406,0.18494008847416804,0.1857279289266399,0.1859032283286159,0.18611936050776132
2015-03-23,0.18503968747116406,0.18494008847416804,0.1857279289266399,0.1859032283286159,0.18611936050776132,0.18570303107712002
2015-03-24,0.18494008847416804,0.1857279289266399,0.1859032283286159,0.18611936050776132,0.18570303107712002,0.18511638333418998
2015-03-25,0.1857279289266399,0.1859032283286159,0.18611936050776132,0.18570303107712002,0.18511638333418998,0.18432655196562642
2015-03-26,0.1859032283286159,0.18611936050776132,0.18570303107712002,0.18511638333418998,0.18432655196562642,0.18427475775157873
2015-03-27,0.18611936050776132,0.18570303107712002,0.18511638333418998,0.18432655196562642,0.18427475775157873,0.18407655141617446
2015-03-30,0.18570303107712002,0.18511638333418998,0.18432655196562642,0.18427475775157873,0.18407655141617446,0.1840068313583856
2015-03-31,0.18511638333418998,0.18432655196562642,0.18427475775157873,0.18407655141617446,0.1840068313583856,0.18449487176290738
2015-04-01,0.18432655196562642,0.18427475775157873,0.18407655141617446,0.1840068313583856,0.18449487176290738,0.18514028192620585
2015-04-02,0.18427475775157873,0.18407655141617446,0.1840068313583856,0.18449487176290738,0.18514028192620585,0.18512235608246472
2015-04-06,0.18407655141617446,0.1840068313583856,0.18449487176290738,0.18514028192620585,0.18512235608246472,0.18602872063317763
2015-04-07,0.1840068313583856,0.18449487176290738,0.18514028192620585,0.18512235608246472,0.18602872063317763,0.1873514146145317
2015-04-08,0.18449487176290738,0.18514028192620585,0.18512235608246472,0.18602872063317763,0.1873514146145317,0.18838726090090577
2015-04-09,0.18514028192620585,0.18512235608246472,0.18602872063317763,0.1873514146145317,0.18838726090090577,0.18891713713955896
2015-04-10,0.18512235608246472,0.18602872063317763,0.1873514146145317,0.18838726090090577,0.18891713713955896,0.1899828623651403
2015-04-13,0.18602872063317763,0.1873514146145317,0.18838726090090577,0.18891713713955896,0.1899828623651403,0.19020696580756852
2015-04-14,0.1873514146145317,0.18838726090090577,0.18891713713955896,0.1899828623651403,0.19020696580756852,0.19045596709951665
2015-04-15,0.18838726090090577,0.18891713713955896,0.1899828623651403,0.19020696580756852,0.19045596709951665,0.18974979980029968
2015-04-16,0.18891713713955896,0.1899828623651403,0.19020696580756852,0.19045596709951665,0.18974979980029968,0.1904619436472497
2015-04-17,0.1899828623651403,0.19020696580756852,0.19045596709951665,0.18974979980029968,0.1904619436472497,0.19106651723392074
2015-04-20,0.19020696580756852,0.19045596709951665,0.18974979980029968,0.1904619436472497,0.19106651723392074,0.1916989788437073
2015-04-21,0.19045596709951665,0.18974979980029968,0.1904619436472497,0.19106651723392074,0.1916989788437073,0.19209240134092023
